SANDIA 18/50
NONE          0.18     0.0
0       200000.    2.0      -2.0 
0       500000.    5.0      -5.0 
0      1000000.    4.0      -4.0 
0      1500000.    4.0      -4.0 
0      1800000.    6.0      -6.0 
0      5000000.    5.0      -5.0 
1     10000000.    6.0      -6.0 
   200000. SNLA 18/50 LAMINAR SECTION  OCT '83
0     0.00    0.0000    0.0147
0     1.05    0.1140    0.0148
0     2.00    0.2285    0.0166
0     3.01    0.2889    0.0168
0     4.04    0.4126    0.0170
0     5.50    0.5690    0.0204
0     7.55    0.6965    0.0219
0     9.06    0.7416    0.0252
0    10.12    0.7727    0.0303
0    11.11    0.7785    0.0393
0    12.10    0.8193    0.0673
0    13.12    0.8498    0.0876
0    14.15    0.8973    0.1231
0    15.15    0.8593    0.1730
0    16.13    0.8148    0.2167
0    17.10    0.7625    0.2473
0    18.06    0.7014    0.2685
0    19.09    0.6400    0.2711
0    20.13    0.6078    0.2825
0    21.08    0.5951    0.2886
0    22.10    0.6333    0.3275
0    23.13    0.6607    0.3512
0    24.12    0.6680    0.3655
0    25.10    0.6939    0.3913
0    26.16    0.7463    0.4363
0    27.15    0.7864    0.4772
0    30.12    0.9038    0.5895
0    35.16    1.0349    0.7857
0    40.17    1.1434    1.0170
0    45.10    1.1374    1.1809
0    50.10    1.1071    1.3499
0    55.10    1.0210    1.4637
0    60.07    0.9398    1.6026
0    65.10    0.8340    1.7192
0    70.00    0.7130    1.8172
0    74.99    0.5849    1.9376
0    80.00    0.4250    1.9478
0    85.00    0.2680    1.9851
0    89.94    0.1139    2.0841
0    95.00   -0.0520    2.0019
0   100.10   -0.2080    1.9595
0   105.00   -0.3737    1.9720
0   110.00   -0.4970    1.8263
0   115.00   -0.6180    1.7149
0   119.91   -0.7389    1.6404
0   124.90   -0.8020    1.4568
0   129.94   -0.8842    1.3426
0   134.93   -0.9231    1.1921
0   140.00   -0.9470    1.0279
0   144.91   -0.8635    0.8121
0   149.93   -0.7027    0.5698
0   154.98   -0.5686    0.3986
0   160.00   -0.5028    0.2841
0   165.06   -0.6106    0.2137
0   170.04   -0.7499    0.1168
0   175.08   -0.3976    0.0468
1   180.10    0.0401    0.0227
   500000. SNLA 18/50 LAMINAR SECTION  OCT '83
0     0.00    0.0000    0.0110
0     1.00    0.1100    0.0109
0     2.00    0.2250    0.0108
0     3.01    0.3311    0.0109
0     4.04    0.4443    0.0108
0     5.02    0.5500    0.0109
0     6.01    0.6149    0.0155
