NACA 0015 
NONE          0.15     0.0      42.0
       10000.   1.0       -1.0
       20000.   2.0       -2.0
       40000.   4.0       -4.0
       80000.   5.0       -5.0
      160000.   5.0       -5.0
      360000.   6.0       -6.0
      700000.   6.0       -6.0
     1000000.   7.0       -7.0
     2000000.   8.0       -8.0
     5000000.   9.0       -9.0
END 10000000.  10.0      -10.0
NACA 0018 
NONE        0.18       0.0        42.0
       20000.    1.0      -1.0
       40000.    4.0      -4.0
       80000.    5.0      -5.0
      160000.    5.0      -5.0
      360000.    4.0      -4.0
      700000.    5.0      -5.0
     1000000.    6.0      -6.0
     2000000.    6.0      -6.0
END  5000000.    7.0      -7.0
NACA 0021 
NONE          0.21     0.0      42.0
       10000.    1.0       -1.0 
       20000.    1.0       -1.0 
       40000.    3.0       -3.0 
       80000.    4.0       -4.0 
      160000.    5.0       -5.0 
      360000.    5.0       -5.0 
      700000.    6.0       -6.0
     1000000.    6.0       -6.0 
     2000000.    6.0       -6.0 
     5000000.    6.0       -6.0 
END  8000000.   10.0      -10.0
SANDIA 0118/50
OUT           0.18   -1.22      42.0
       200000.    2.0      -2.0 
       500000.    5.0      -5.0 
      1000000.    4.0      -4.0 
      1500000.    4.0      -4.0 
      1800000.    6.0      -6.0 
      5000000.    5.0      -5.0 
END  10000000.    6.0      -6.0 
SANDIA 18/50
NONE          0.18     0.0      42.0
       200000.    2.0      -2.0 
       500000.    5.0      -5.0 
      1000000.    4.0      -4.0 
      1500000.    4.0      -4.0 
      1800000.    6.0      -6.0 
      5000000.    5.0      -5.0 
END  10000000.    6.0      -6.0 
SANDIA 21/50
NONE          0.21     0.0      42.0
      200000.   2.0       -2.0
      500000.   5.0       -5.0
     1000000.   6.0       -6.0
     1500000.   5.0       -5.0
     2000000.   6.0       -6.0
     5000000.   5.0       -5.0
END 10000000.   4.0       -4.0
SANDIA 18/50M
NONE          0.18     0.0      42.0
      200000.    2.0      -2.0
      500000.    5.0      -5.0
     1200000.    6.0      -6.0
     1800000.    6.0      -6.0
     5000000.    5.0      -5.0
END 10000000.    6.0      -6.0
NACA 0012
NONE          0.12     0.0      25.0
      400000.   8.0       -8.0
      700000.  10.0      -10.0
     1000000.  11.0      -11.0
END  2000000.  12.0      -12.0
NACA 0018
NONE          0.18     0.0      25.0
     1000000.  10.0      -10.0
END  2000000.  10.0      -20.0
SNLA Kink Simulated
NONE          0.18     0.0      42.0
      200000.    2.0      -2.0
      500000.    5.0      -5.0
     1000000.    4.0      -4.0
     1500000.    4.0      -4.0
     1800000.    6.0      -6.0
     5000000.    5.0      -5.0
END 10000000.    6.0      -6.0
SANDIA 15/47
NONE          0.15     0.0      42.0
      200000.   4.0       -4.0
      500000.   4.0       -4.0
     1000000.   4.0       -4.0
     1500000.   5.0       -5.0
     2000000.   6.0       -6.0
     5000000.   8.0       -8.0
END 10000000.   8.0       -8.0
COMB2
NONE          0.21     0.0      50.0
       10000.    1.0       -1.0
      160000.    5.0       -5.0
      250000.    6.0       -6.0
      500000.    6.0       -6.0
      750000.    6.0       -6.0
     1000000.    6.0       -6.0
     1300000.    6.0       -6.0
     1600000.    7.0       -7.0
     2000000.    7.0       -7.0
     3000000.    8.0       -8.0
END  8000000.    9.0       -9.0
